device,model,task,task_label,engine,num_requests,dataset,qps,avg_latency
a100,Qwen2.5-14B,code,CodeWriter,vLLM,20,D1,0.05,1836.650278
a100,Qwen2.5-14B,code,CodeWriter,vLLM,20,D1,0.1,1908.927503
a100,Qwen2.5-14B,code,CodeWriter,vLLM,20,D1,0.2,2145.357962
a100,Qwen2.5-14B,code,CodeWriter,vLLM,20,D1,0.5,2477.10683
a100,Qwen2.5-14B,code,CodeWriter,vLLM,20,D1,1,2630.364058
a100,Qwen2.5-14B,code,CodeWriter,vLLM,30,D2,0.05,2066.652423
a100,Qwen2.5-14B,code,CodeWriter,vLLM,30,D2,0.1,2244.438412
a100,Qwen2.5-14B,code,CodeWriter,vLLM,30,D2,0.2,2952.47117
a100,Qwen2.5-14B,code,CodeWriter,vLLM,30,D2,0.5,3477.977193
a100,Qwen2.5-14B,code,CodeWriter,vLLM,30,D2,1,3783.236608
a100,Qwen2.5-14B,research,DeepResearch,vLLM,20,D1,0.05,462.8607
a100,Qwen2.5-14B,research,DeepResearch,vLLM,20,D1,0.1,525.27968
a100,Qwen2.5-14B,research,DeepResearch,vLLM,20,D1,0.2,560.401021
a100,Qwen2.5-14B,research,DeepResearch,vLLM,20,D1,0.5,586.9867
a100,Qwen2.5-14B,research,DeepResearch,vLLM,20,D1,1,656.288391
a100,Qwen2.5-14B,research,DeepResearch,vLLM,30,D2,0.05,553.120908
a100,Qwen2.5-14B,research,DeepResearch,vLLM,30,D2,0.1,667.562434
a100,Qwen2.5-14B,research,DeepResearch,vLLM,30,D2,0.2,750.066008
a100,Qwen2.5-14B,research,DeepResearch,vLLM,30,D2,0.5,812.37862
a100,Qwen2.5-14B,research,DeepResearch,vLLM,30,D2,1,830.966516
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,20,D1,0.05,1831.126347
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,20,D1,0.1,1859.065282
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,20,D1,0.2,1985.103173
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,20,D1,0.5,2199.28828
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,20,D1,1,2373.020297
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,30,D2,0.05,2063.625749
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,30,D2,0.1,2298.867219
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,30,D2,0.2,2855.966514
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,30,D2,0.5,3238.325883
a100,Qwen2.5-14B,code,CodeWriter,vLLM-Prefix,30,D2,1,3442.424154
a100,Qwen2.5-14B,research,DeepResearch,vLLM-Prefix,20,D1,0.05,461.40364
a100,Qwen2.5-14B,research,DeepResearch,vLLM-Prefix,20,D1,0.1,518.0635924
a100,Qwen2.5-14B,research,DeepResearch,vLLM-Prefix,20,D1,0.2,551.6652227
a100,Qwen2.5-14B,research,DeepResearch,vLLM-Prefix,20,D1,0.5,573.3125957
a100,Qwen2.5-14B,research,DeepResearch,vLLM-Prefix,20,D1,1,610.9069639
