time,preempt_type,preempt_priority,victim_type,victim_priority,want_blocks,get_blocks
255,mcp_conditional_execution,7,mcp_conditional_execution,7,1310,2322
260,mcp_conditional_execution,4,mcp_conditional_execution,4,1371,915
262,mcp_conditional_execution,7,mcp_conditional_execution,7,1,3729
267,architect,5,architect,5,1,2400
272,mcp_search,3,mcp_search,3,1,1952
272,mcp_conditional_execution,7,mcp_conditional_execution,7,2033,779
273,mcp_search,6,mcp_search,6,2032,948
276,architect,2,mcp_search,6,1,3408
283,mcp_conditional_execution,4,mcp_file_write,8,1,3688
285,mcp_conditional_execution,4,mcp_conditional_execution,4,1169,1050
285,architect,5,architect,5,926,1065
288,architect,2,mcp_conditional_execution,4,1,2327
295,mcp_search,3,mcp_search,3,1,1635
296,mcp_search,6,mcp_search,6,743,2271
298,architect,2,architect,2,581,98
298,mcp_conditional_execution,7,mcp_conditional_execution,4,1,1904
302,mcp_conditional_execution,4,mcp_conditional_execution,7,1,4084
303,mcp_file_write,8,mcp_file_write,8,2034,1768
305,architect,2,mcp_file_write,8,1,3834
306,mcp_conditional_execution,7,mcp_conditional_execution,7,2034,856
308,architect,5,mcp_search,3,1,1438
312,mcp_search,3,mcp_conditional_execution,7,1,3572
317,mcp_search,6,mcp_search,6,1109,2274
322,architect,5,architect,5,794,1132
325,mcp_search,6,mcp_search,6,1,3477
331,mcp_file_write,8,mcp_conditional_execution,7,1,3789
335,programmer,9,programmer,9,1843,2036
343,mcp_conditional_execution,7,architect,5,1,2573
349,architect,5,mcp_conditional_execution,4,1,2001
353,architect,2,mcp_search,3,1,1516
355,mcp_file_write,8,mcp_file_write,8,1794,2341
358,mcp_conditional_execution,7,mcp_conditional_execution,7,1402,2044
366,architect,5,mcp_search,3,1,1866
367,mcp_search,6,mcp_search,6,2034,388
373,architect,5,mcp_conditional_execution,4,1,1848
375,mcp_file_write,8,mcp_file_write,8,1364,2346
381,mcp_conditional_execution,4,mcp_search,3,1,1431
384,mcp_search,3,mcp_file_write,8,1,3834
388,mcp_file_write,8,architect,2,1,669
389,architect,2,architect,5,1,2374
391,mcp_conditional_execution,7,mcp_conditional_execution,7,2034,1599
396,mcp_search,3,mcp_search,3,1577,143
398,architect,5,mcp_conditional_execution,4,1,2276
400,programmer,9,programmer,9,2033,758
402,architect,2,mcp_search,3,1,1772
405,mcp_file_query,10,mcp_file_query,10,2034,2417
406,mcp_conditional_execution,7,mcp_file_query,10,1,4451
413,architect,5,architect,5,1396,535
417,programmer,9,architect,5,1,1945
421,mcp_file_query,10,mcp_search,3,1,1589
423,mcp_search,6,mcp_search,6,1815,1650
429,mcp_conditional_execution,4,mcp_conditional_execution,4,764,1068
432,architect,5,architect,5,726,1466
435,mcp_search,3,mcp_search,3,239,1426
440,mcp_conditional_execution,7,mcp_file_write,8,1,3706
448,mcp_search,3,architect,2,1,391
449,mcp_conditional_execution,4,mcp_search,6,1,3204
451,architect,2,mcp_search,3,1,1385
453,architect,2,architect,2,1,498
453,programmer,9,mcp_search,6,1,3315
457,mcp_file_query,10,mcp_file_query,10,2032,2370
459,architect,5,architect,5,1,1993
463,programmer,9,mcp_file_query,10,1,5218
463,mcp_search,3,mcp_file_query,10,1,5219
463,mcp_conditional_execution,7,mcp_conditional_execution,7,1664,2308
466,mcp_file_query,10,architect,2,1,317
467,mcp_search,3,mcp_conditional_execution,7,1,4011
470,programmer,9,programmer,9,1588,2328
471,mcp_conditional_execution,4,mcp_conditional_execution,4,1227,606
473,mcp_conditional_execution,7,mcp_search,6,1,3410
479,mcp_file_query,10,architect,2,1,736
479,mcp_conditional_execution,7,mcp_conditional_execution,7,2031,731
482,architect,2,mcp_conditional_execution,7,1,3433
485,mcp_file_write,8,mcp_file_write,8,2031,1015
493,mcp_file_query,10,mcp_file_query,10,2033,895
495,mcp_conditional_execution,7,architect,5,1,2479
497,mcp_file_query,10,mcp_file_query,10,2034,2899
501,architect,5,architect,5,1,2624
506,mcp_file_write,11,mcp_file_write,11,2033,1860
511,mcp_file_write,8,architect,2,1,744
513,mcp_file_query,10,architect,2,1,297
514,mcp_conditional_execution,7,mcp_conditional_execution,4,1,1814
518,mcp_file_write,11,architect,2,1,436
518,mcp_conditional_execution,4,mcp_file_write,11,1,5298
518,mcp_file_query,10,architect,2,1,437
518,mcp_file_query,10,mcp_file_write,11,1,5299
520,mcp_file_query,10,mcp_search,3,1,1779
524,mcp_file_query,10,mcp_search,6,1,3137
528,mcp_conditional_execution,7,mcp_conditional_execution,7,1247,2649
530,mcp_file_write,8,mcp_file_write,8,2030,1095
532,mcp_file_write,11,mcp_conditional_execution,7,1,3979
540,mcp_search,6,mcp_search,6,975,2272
541,mcp_file_query,10,mcp_file_query,10,2032,1462
548,mcp_conditional_execution,4,mcp_conditional_execution,4,1803,296
550,mcp_search,6,mcp_conditional_execution,4,1,2114
557,programmer,9,programmer,9,1499,2355
563,programmer,9,architect,2,1,731
564,mcp_search,3,architect,5,1,2433
568,mcp_conditional_execution,7,mcp_conditional_execution,7,2033,1022
571,mcp_file_write,11,mcp_file_write,11,1568,3724
575,mcp_file_query,10,architect,2,1,599
577,mcp_file_query,10,mcp_search,6,1,3099
583,mcp_file_query,10,mcp_file_query,10,2031,1348
585,mcp_file_write,11,mcp_search,3,1,1439
586,mcp_file_query,10,mcp_file_query,10,1606,3361
590,mcp_file_write,11,mcp_search,3,1,1565
592,mcp_conditional_execution,4,mcp_file_write,8,1,4496
595,architect,5,architect,5,821,1203
598,mcp_file_write,11,mcp_search,3,1,1666
600,mcp_conditional_execution,7,mcp_conditional_execution,7,2030,1296
602,mcp_conditional_execution,7,mcp_conditional_execution,7,507,3328
608,architect,2,mcp_conditional_execution,4,1,2226
611,architect,2,mcp_search,3,1,1568
613,mcp_file_query,10,mcp_conditional_execution,4,1,2045
614,programmer,9,programmer,9,1871,2356
618,mcp_search,6,mcp_search,6,1030,2426
623,architect,2,architect,2,1,337
624,mcp_file_query,10,mcp_search,6,1,3513
626,mcp_search,3,programmer,9,1,4487
626,mcp_search,3,mcp_search,6,1,3516
628,mcp_conditional_execution,7,programmer,9,1,4542
628,programmer,9,programmer,9,1,4544
628,mcp_conditional_execution,4,mcp_search,6,1,3519
634,mcp_file_query,10,mcp_file_query,10,2034,2386
639,architect,5,architect,5,985,1366
640,mcp_search,3,mcp_search,3,1026,599
642,mcp_file_write,11,architect,2,1,735
643,mcp_conditional_execution,4,reviewer,12,1,7678
648,programmer,9,architect,5,1,2015
651,mcp_file_query,10,architect,2,1,556
651,programmer,9,reviewer,12,1,7902
651,architect,2,reviewer,12,1,7904
653,mcp_file_query,10,reviewer,12,1,7961
654,mcp_file_write,11,mcp_conditional_execution,7,1,3428
661,mcp_file_query,10,architect,5,1,2248
662,mcp_file_write,11,architect,2,1,807
665,mcp_file_write,8,mcp_file_write,8,2032,766
667,mcp_search,3,mcp_conditional_execution,4,1,1894
670,mcp_conditional_execution,7,mcp_conditional_execution,4,1,2360
675,mcp_search,6,mcp_search,6,2034,950
679,mcp_search,3,mcp_search,3,928,599
684,architect,5,architect,2,1,781
686,mcp_file_write,8,mcp_conditional_execution,4,1,2331
688,mcp_file_write,11,mcp_file_write,11,2033,2393
692,architect,2,architect,2,1,924
693,mcp_conditional_execution,4,mcp_conditional_execution,4,1,2508
696,mcp_search,6,mcp_file_write,11,1,5597
698,architect,5,architect,2,1,486
699,mcp_file_write,11,architect,5,1,2353
706,mcp_file_query,10,mcp_file_query,10,2033,2385
709,mcp_search,6,mcp_search,6,1650,1769
711,mcp_search,3,mcp_search,3,1,1772
713,mcp_file_write,8,mcp_file_write,8,1318,2453
718,mcp_file_query,10,architect,5,1,2045
721,reviewer,12,reviewer,12,858,7299
724,mcp_file_write,11,reviewer,12,1,8159
728,mcp_file_query,10,architect,5,1,2284
730,mcp_file_query,10,mcp_conditional_execution,4,1,2305
734,reviewer,12,mcp_conditional_execution,7,1,3530
737,programmer,9,programmer,9,2022,2358
742,mcp_search,3,mcp_conditional_execution,7,1,3699
745,mcp_file_write,11,mcp_file_write,11,2032,2416
747,mcp_file_write,11,mcp_file_write,11,720,4449
750,mcp_conditional_execution,7,architect,2,1,382
750,mcp_search,6,mcp_search,6,2031,1037
755,programmer,9,mcp_search,3,1,1495
760,reviewer,12,mcp_search,3,1,1644
762,programmer,9,architect,2,1,769
764,mcp_conditional_execution,4,mcp_file_write,11,1,5691
764,reviewer,12,mcp_search,3,1,1656
764,programmer,9,architect,2,1,783
768,mcp_conditional_execution,4,architect,2,1,707
769,programmer,9,architect,5,1,2434
771,mcp_file_write,8,architect,5,1,2096
776,architect,2,mcp_search,3,1,1934
779,mcp_file_query,10,mcp_file_query,10,2031,964
784,architect,2,architect,2,1,746
787,mcp_file_query,10,architect,2,1,814
787,architect,5,mcp_file_query,10,1,5426
787,mcp_search,3,mcp_file_query,10,1,5429
787,mcp_file_write,8,mcp_file_query,10,1,5440
788,mcp_search,6,mcp_file_query,10,1,5440
789,mcp_search,3,mcp_file_query,10,1,5487
789,programmer,9,mcp_file_query,10,1,5491
791,programmer,9,mcp_search,3,1,1398
794,programmer,9,architect,2,1,951
794,architect,2,mcp_file_query,10,1,5586
794,mcp_conditional_execution,4,mcp_file_query,10,1,5635
794,architect,2,mcp_file_query,10,1,5637
794,mcp_conditional_execution,4,mcp_file_query,10,1,5644
800,mcp_file_write,11,mcp_file_write,11,2030,1300
802,mcp_file_write,11,mcp_file_write,11,2031,3327
808,mcp_file_query,10,mcp_file_write,11,1,5474
808,architect,5,mcp_file_write,11,1,5475
808,mcp_conditional_execution,4,mcp_file_write,11,1,5475
812,mcp_search,6,mcp_search,6,1143,2263
814,mcp_external_tool_eval,13,mcp_external_tool_eval,13,2034,3359
825,reviewer,12,mcp_external_tool_eval,13,1,8186
829,mcp_file_write,11,mcp_external_tool_eval,13,1,8279
834,reviser,13,reviser,13,2039,2039
836,mcp_conditional_execution,4,mcp_conditional_execution,4,926,853
840,mcp_file_write,11,mcp_search,3,1,1527
843,mcp_external_tool_eval,13,mcp_conditional_execution,4,1,2303
847,mcp_file_write,8,mcp_file_write,8,1422,2202
849,reviser,13,mcp_conditional_execution,4,1,2064
855,mcp_search,3,mcp_search,3,1,2069
860,mcp_file_write,8,mcp_file_write,8,1,4016
864,programmer,9,programmer,9,2033,1043
870,mcp_conditional_execution,4,mcp_file_query,10,1,4952
879,mcp_file_write,8,mcp_file_query,10,1,5152
