time,mcp_conditional_execution,mcp_external_test,mcp_external_tool_eval,mcp_file_query,mcp_file_write,mcp_search,mcp_user_confirm,gpu_kv_usage
116,0,0,0,0,0,68,0,6.6
117,0,0,0,0,0,145,0,6.6
119,0,0,0,0,0,215,0,6.6
120,0,0,0,0,0,147,0,6.6
121,0,0,0,0,0,244,0,6.6
122,0,0,0,0,0,167,0,6.6
123,0,0,0,0,0,236,0,6.6
123,0,0,0,0,0,166,0,6.6
124,0,0,0,0,0,255,0,7.3
125,0,0,0,0,0,158,0,7.3
126,0,0,0,0,0,224,0,7.3
127,0,0,0,0,0,244,0,7.3
128,0,0,0,0,0,312,0,7.3
128,0,0,0,0,0,223,0,7.3
129,0,0,0,0,0,322,0,7.3
129,0,0,0,0,0,256,0,7.3
131,0,0,0,0,0,320,0,7.3
131,0,0,0,0,0,231,0,7.3
132,0,0,0,0,0,325,0,7.3
132,0,0,0,0,0,257,0,7.3
133,0,0,0,0,0,331,0,7.3
133,0,0,0,0,0,232,0,7.3
135,0,0,0,0,0,168,0,8.5
135,0,0,0,0,0,258,0,8.5
136,0,0,0,0,0,323,0,8.5
136,0,0,0,0,0,229,0,8.5
137,0,0,0,0,0,310,0,8.5
137,0,0,0,0,0,236,0,8.5
138,0,0,0,0,0,304,0,8.5
139,0,0,0,0,0,214,0,8.5
139,0,0,0,0,0,308,0,8.5
140,0,0,0,0,0,243,0,8.5
140,95,0,0,0,0,243,0,8.5
141,0,0,0,0,0,243,0,8.5
141,0,0,0,0,0,313,0,8.5
141,0,0,0,0,0,232,0,8.5
142,0,0,0,0,0,164,0,8.5
143,0,0,0,0,0,255,0,8.5
143,0,0,0,0,0,161,0,8.5
144,97,0,0,0,0,161,0,8.5
144,0,0,0,0,0,161,0,9.3
145,0,0,0,0,0,91,0,9.3
147,124,0,0,0,0,91,0,9.3
147,124,0,0,0,0,0,0,9.3
147,0,0,0,0,0,0,0,9.3
148,97,0,0,0,0,0,0,9.3
149,0,0,0,0,0,0,0,9.3
150,116,0,0,0,0,0,0,9.3
151,0,0,0,0,0,0,0,9.3
152,94,0,0,0,0,0,0,9.3
152,0,0,0,0,0,0,0,9.3
154,117,0,0,0,0,0,0,11.2
154,0,0,0,0,0,0,0,11.2
156,95,0,0,0,0,0,0,11.2
156,0,0,0,0,0,0,0,11.2
157,126,0,0,0,0,0,0,11.2
158,0,0,0,0,0,0,0,11.2
159,92,0,0,0,0,0,0,11.2
159,0,0,0,0,0,0,0,11.2
161,121,0,0,0,0,0,0,11.2
161,0,0,0,0,0,0,0,11.2
163,101,0,0,0,0,0,0,11.2
164,0,0,0,0,0,0,0,11.2
165,118,0,0,0,0,0,0,12.6
166,0,0,0,0,0,0,0,12.6
167,92,0,0,0,0,0,0,12.6
167,0,0,0,0,0,0,0,12.6
168,108,0,0,0,0,0,0,12.6
168,0,0,0,0,0,0,0,12.6
169,95,0,0,0,0,0,0,12.6
170,0,0,0,0,0,0,0,12.6
171,121,0,0,0,0,0,0,12.6
172,0,0,0,0,0,0,0,12.6
173,97,0,0,0,0,0,0,12.6
173,0,0,0,0,0,0,0,12.6
176,118,0,0,0,0,0,0,13.1
176,0,0,0,0,0,0,0,13.1
179,0,0,0,0,0,121,0,13.1
182,0,0,0,0,0,252,0,13.1
