model,task,engine,num_requests,qps,avg_latency
Qwen2.5-14B,CodeWriter,SunCake,20,0.2,1746.7192049503326
Qwen2.5-14B,CodeWriter,SunCake,30,0.5,2467.1213339249293
Qwen2.5-14B,CodeWriter,SunCake,20,0.5,1854.3858781814574
Qwen2.5-14B,CodeWriter,SunCake,30,0.1,2193.6048903226852
Qwen2.5-14B,CodeWriter,SunCake,20,1.0,1985.7164687395095
Qwen2.5-14B,CodeWriter,SunCake,20,0.1,1679.3660971403121
Qwen2.5-14B,CodeWriter,SunCake,30,0.2,2261.814386145274
Qwen2.5-14B,CodeWriter,SunCake,30,0.05,2015.2561109145483
Qwen2.5-14B,CodeWriter,SunCake,30,1.0,2681.1743795315424
Qwen2.5-14B,CodeWriter,SunCake,20,0.05,1622.1162487745285
Qwen2.5-14B,CodeWriter,vLLM,20,0.2,3659.504067480564
Qwen2.5-14B,CodeWriter,vLLM,30,0.5,5738.146709338824
Qwen2.5-14B,CodeWriter,vLLM,20,0.5,4038.282845246792
Qwen2.5-14B,CodeWriter,vLLM,20,1.0,4062.823210501671
Qwen2.5-14B,CodeWriter,vLLM,20,0.1,3349.758384394646
Qwen2.5-14B,CodeWriter,vLLM,30,0.2,5073.692696634928
Qwen2.5-14B,CodeWriter,vLLM,30,0.05,4291.295852788289
Qwen2.5-14B,CodeWriter,vLLM,30,1.0,5980.998870706559
Qwen2.5-14B,CodeWriter,vLLM,20,0.05,3006.0520377635958
